DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
2026.19.03,11:00,Karvan , Zira,14,14,71,30,70,70,30,ACC
2026.19.03,15:15,Sabah , Sumqayıt,69,15,15,34,66,63,37,ACC
2026.19.03,00:30,Santos , Internacional,66,17,17,34,66,68,32,ACC
2026.19.03,00:30,Vasco da Gama , Fluminense,25,25,50,33,67,63,37,ACC
2026.19.03,22:00,Gremio , Vitoria,58,21,21,33,67,68,32,ACC
2026.19.03,23:00,Flamengo , Remo,69,15,15,38,62,27,73,ACC
2026.19.03,00:00,CRB , Figueirense,68,16,16,60,40,36,64,ACC
2026.19.03,00:30,Jacuipense , Novorizontino,16,16,67,70,30,29,71,ACC
2026.19.03,22:30,Juventude , Aguia de Maraba,73,13,13,65,35,30,70,ACC
2026.19.03,22:30,Maringa , Goias,18,18,64,66,34,33,67,ACC
2026.19.03,23:00,Volta Redonda , Barra SC,66,17,17,66,34,31,69,ACC
2026.19.03,16:00,Spartak Varna , Ludogorets Razgrad,12,12,76,29,71,41,59,ACC
2026.19.03,00:30,Atletico Bucaramanga , Once Caldas,69,15,15,30,70,66,34,ACC
2026.19.03,01:30,Deportivo Cali , Independiente Santa Fe,66,17,17,66,34,32,68,ACC
2026.19.03,21:10,Alianza , Jaguares de Cordoba,62,19,19,70,30,29,71,ACC
2026.19.03,23:20,Deportes Tolima , Fortaleza CEIF,64,18,18,62,38,36,64,ACC
2026.19.03,01:00,Club America , Philadelphia,74,13,13,39,61,61,39,ACC
2026.19.03,03:00,Toluca , San Diego FC,77,11,11,32,68,57,43,ACC
2026.19.03,03:00,Seattle Sounders , Vancouver Whitecaps,19,62,19,31,69,60,40,ACC
2026.19.03,23:00,Mount Pleasant FA , LA Galaxy,10,10,80,34,66,68,32,ACC
2026.19.03,00:00,Libertad FC , Barcelona Guayaquil,20,20,59,29,71,62,38,ACC
2026.19.03,19:00,SD Aucas , Tecnico Universitario,69,15,15,66,34,35,65,ACC
2026.19.03,21:30,Orense , Mushuc Runa,57,21,21,68,32,41,59,ACC
2026.19.03,19:45,Alfreton Town , Hereford,24,24,52,39,61,73,27,ACC
2026.19.03,16:00,Viimsi , Tallinna Kalev,69,15,15,31,69,70,30,ACC
2026.19.03,16:00,Flora II , Nõmme Kalju II,45,27,27,38,62,59,41,ACC
2026.19.03,18:00,Quevilly , Dijon,21,21,58,35,65,65,35,ACC
2026.19.03,00:00,Mictlán , Malacateco,55,22,22,29,71,69,31,ACC
2026.19.03,02:00,Marquense , Cobán Imperial,60,20,20,40,60,60,40,ACC
2026.19.03,21:00,Aurora , Guastatoya,62,19,19,35,65,58,42,ACC
2026.19.03,01:30,Real Espana , Génesis,76,12,12,36,64,63,37,ACC
2026.19.03,21:00,Platense FC , CD Motagua,22,22,56,33,67,63,37,ACC
2026.19.03,14:00,Sporting Club Delhi , Jamshedpur FC,21,21,57,33,67,59,41,ACC
2026.19.03,10:30,Chanmari , Shillong Lajong,67,16,16,35,65,63,37,ACC
2026.19.03,13:00,Sreenidi Deccan , Namdhari,69,15,15,39,61,63,37,ACC
2026.19.03,02:07,Chivas Guadalajara , Leon,74,13,13,30,70,61,39,ACC
2026.19.03,01:00,Tlaxcala , Atlante FC,18,18,64,38,62,57,43,ACC
2026.19.03,02:00,CDS Tampico Madero , Correcaminos Uat,72,14,14,29,71,58,42,ACC
2026.19.03,15:00,Niger Tornadoes , Rivers United,55,22,22,32,68,66,34,ACC
2026.19.03,17:00,KFUM , Fredrikstad,59,20,20,39,61,67,33,ACC
2026.19.03,19:00,Bryne , SK Brann,22,22,55,37,63,62,38,ACC
2026.19.03,23:00,Sportivo Trinidense , Sportivo Ameliano,23,53,23,70,30,36,64,ACC
2026.19.03,18:30,Dinamo Bucharest , CS U Craiova,24,51,24,61,39,43,57,ACC
2026.19.03,15:30,Krylia Sovetov , Lokomotiv Moscow,22,22,55,40,60,61,39,ACC
2026.19.03,13:00,Kayserispor , Fatih Karagumruk,55,22,22,34,66,64,36,ACC
2026.19.03,17:00,Besiktas , Kasimpasa,77,11,11,39,61,62,38,ACC
2026.19.03,17:00,Konyaspor , Genclerbirligi,59,20,20,37,63,59,41,ACC
2026.19.03,17:45,AEK Larnaca , Crystal Palace,21,21,57,60,40,40,60,ACC
2026.19.03,17:45,Rakow Czestochowa , Fiorentina,25,50,25,33,67,66,34,ACC
