DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
2026-03-19,11:00,Karvan,Zira,10,21,69,12,88,53,47,BCL
2026-03-19,15:15,Sabah,Sumqayıt,62,23,15,12,88,53,47,BCL
2026-03-19,00:30,Santos,Internacional,44,28,28,46,54,59,41,BCL
2026-03-19,00:30,Vasco da Gama,Fluminense,30,28,42,43,57,55,45,BCL
2026-03-19,22:00,Gremio,Vitoria,53,27,20,49,51,55,45,BCL
2026-03-19,23:00,Flamengo,Remo,83,12,5,37,63,37,63,BCL
2026-03-19,00:00,CRB,Figueirense,65,23,12,63,37,35,65,BCL
2026-03-19,00:30,Jacuipense,Novorizontino,15,23,62,55,45,45,55,BCL
2026-03-19,22:30,Juventude,Aguia de Maraba,76,18,6,55,45,35,65,BCL
2026-03-19,22:30,Maringa,Goias,28,28,44,62,38,45,55,BCL
2026-03-19,23:00,Volta Redonda,Barra SC,51,26,23,66,34,39,61,BCL
2026-03-19,16:00,Spartak Varna,Ludogorets Razgrad,5,11,84,35,65,41,59,BCL
2026-03-19,00:30,Atletico Bucaramanga,Once Caldas,48,29,23,46,54,59,41,BCL
2026-03-19,01:30,Deportivo Cali,Independiente Santa Fe,45,30,25,65,35,43,57,BCL
2026-03-19,21:10,Alianza,Jaguares de Cordoba,54,25,21,65,35,37,63,BCL
2026-03-19,23:20,Deportes Tolima,Fortaleza CEIF,60,25,15,60,40,41,59,BCL
2026-03-19,01:00,Club America,Philadelphia,66,20,14,41,59,55,45,BCL
2026-03-19,03:00,Toluca,San Diego FC,77,15,8,34,66,53,47,BCL
2026-03-19,03:00,Seattle Sounders,Vancouver Whitecaps,40,28,32,46,54,59,41,BCL
2026-03-19,23:00,Mount Pleasant FA,LA Galaxy,16,13,71,29,71,61,39,BCL
2026-03-19,20:00,Cariari Pococi,Aserri FC,62,23,15,40,60,58,42,BCL
2026-03-19,00:00,Libertad FC,Barcelona Guayaquil,30,27,43,45,55,57,43,BCL
2026-03-19,19:00,SD Aucas,Tecnico Universitario,58,25,17,59,41,43,57,BCL
2026-03-19,21:30,Orense,Mushuc Runa,53,26,21,57,43,45,55,BCL
2026-03-19,19:45,Alfreton Town,Hereford,27,37,36,43,57,59,41,BCL
2026-03-19,16:00,Viimsi,Tallinna Kalev,69,18,13,25,75,67,33,BCL
2026-03-19,16:00,Flora II,Nõmme Kalju II,54,20,26,26,74,72,28,BCL
2026-03-19,00:00,Mictlán,Malacateco,52,27,21,40,60,53,47,BCL
2026-03-19,02:00,Marquense,Cobán Imperial,46,27,27,37,63,53,47,BCL
2026-03-19,21:00,Aurora,Guastatoya,51,26,23,61,39,39,61,BCL
2026-03-19,01:30,Real Espana,Génesis,71,20,9,41,59,42,58,BCL
2026-03-19,21:00,Platense FC,CD Motagua,29,25,46,45,55,58,42,BCL
2026-03-19,10:30,Chanmari,Shillong Lajong,64,22,14,44,56,55,45,BCL
2026-03-19,13:00,Sreenidi Deccan,Namdhari,68,20,12,39,61,58,42,BCL
2026-03-19,14:00,Sporting Club Delhi,Jamshedpur FC,18,28,54,49,51,57,43,BCL
2026-03-19,01:00,Tlaxcala,Atlante FC,23,23,54,48,52,53,47,BCL
2026-03-19,02:00,CDS Tampico Madero,Correcaminos Uat,67,21,12,60,40,42,58,BCL
2026-03-19,02:07,Chivas Guadalajara,Leon,74,18,8,38,62,55,45,BCL
2026-03-19,15:00,Niger Tornadoes,Rivers United,54,28,18,69,31,37,63,BCL
2026-03-19,17:00,KFUM,Fredrikstad,47,27,26,49,51,57,43,BCL
2026-03-19,19:00,Bryne,SK Brann,20,19,61,34,66,63,37,BCL
2026-03-19,23:00,Sportivo Trinidense,Sportivo Ameliano,32,34,34,65,35,43,57,BCL
2026-03-19,18:30,Dinamo Bucharest,CS U Craiova,32,34,34,65,35,41,59,BCL
2026-03-19,15:30,Krylia Sovetov,Lokomotiv Moscow,23,26,51,48,52,58,42,BCL
2026-03-19,13:00,Kayserispor,Fatih Karagumruk,52,25,23,46,54,57,43,BCL
