DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
19/03/26,11:00,Karvan,Zira,19,4,77,60,40,34,66,FST
19/03/26,15:15,Sabah FA,Sumqayıt,80,8,12,38,62,55,45,FST
19/03/26,00:30,Santos,Internacional,50,31,19,40,60,65,35,FST
19/03/26,00:30,Vasco da Gama,Fluminense,5,48,47,37,63,68,32,FST
19/03/26,22:00,Gremio,Vitoria,63,14,23,38,62,69,31,FST
19/03/26,23:00,Flamengo,Remo,89,5,6,29,71,24,76,FST
19/03/26,00:00,CRB,Figueirense,73,11,16,72,28,23,77,FST
19/03/26,00:30,Jacuipense,Novorizontino,24,7,69,63,37,33,67,FST
19/03/26,22:30,Maringa,Goias,5,46,49,68,32,40,60,FST
19/03/26,22:30,Juventude,Aguia de Maraba,84,4,12,64,36,28,72,FST
19/03/26,23:00,Volta Redonda,Barra SC,59,12,29,75,25,28,72,FST
19/03/26,16:00,Spartak Varna,Ludogorets Razgrad,8,4,88,31,69,38,62,FST
19/03/26,00:30,Atletico Bucaramanga,Once Caldas,55,26,19,38,62,65,35,FST
19/03/26,01:30,Deportivo Cali,Independiente Santa Fe,53,28,19,74,26,29,71,FST
19/03/26,21:10,Alianza,Jaguares de Cordoba,59,18,23,71,29,27,73,FST
19/03/26,23:20,Deportes Tolima,Fortaleza CEIF,66,16,18,67,33,35,65,FST
19/03/26,01:00,Club America,Philadelphia,71,13,16,37,63,61,39,FST
19/03/26,03:00,Toluca,San Diego FC,82,8,10,29,71,56,44,FST
19/03/26,03:00,Seattle Sounders,Vancouver Whitecaps,32,45,23,41,59,61,39,FST
19/03/26,23:00,Mount Pleasant FA,LA Galaxy,17,6,77,23,77,70,30,FST
19/03/26,00:00,Libertad FC,Barcelona Guayaquil,29,49,22,60,40,60,40,FST
19/03/26,19:00,SD Aucas,Tecnico Universitario,65,13,22,67,33,35,65,FST
19/03/26,21:30,Orense,Mushuc Runa,57,18,25,62,38,33,67,FST
19/03/26,19:45,Alfreton Town,Hereford,17,52,31,36,64,69,31,FST
19/03/26,14:00,Sporting Club Delhi,Jamshedpur FC,30,8,62,38,62,64,36,FST
19/03/26,02:07,Chivas Guadalajara,Leon,80,9,11,32,68,64,36,FST
19/03/26,01:00,Tlaxcala,Atlante FC,30,8,62,62,38,30,70,FST
19/03/26,15:00,Niger Tornadoes,Rivers United,61,16,23,76,24,36,64,FST
19/03/26,17:00,KFUM,Fredrikstad,52,29,19,41,59,68,32,FST
19/03/26,19:00,Bryne,SK Brann,29,5,66,29,71,73,27,FST
19/03/26,23:00,Sportivo Trinidense,Sportivo Ameliano,17,55,28,72,28,34,66,FST
19/03/26,18:30,Dinamo Bucharest,CS U Craiova,16,53,31,74,26,33,67,FST
19/03/26,13:00,Kayserispor,Fatih Karagumruk,56,18,26,42,58,62,38,FST
19/03/26,17:00,Besiktas,Kasimpasa,82,6,12,29,71,62,38,FST
19/03/26,17:00,Konyaspor,Genclerbirligi,60,18,22,38,62,54,46,FST
19/03/26,17:45,AEK Larnaca,Crystal Palace,29,4,67,56,44,41,59,FST
19/03/26,17:45,Rakow Czestochowa,Fiorentina,17,55,28,42,58,68,32,FST
19/03/26,17:45,AEK Athens,NK Celje,88,3,9,27,73,30,70,FST
19/03/26,17:45,Mainz,Sigma Olomouc,80,10,10,62,38,37,63,FST
19/03/26,20:00,Shakhtar Donetsk,Lech Poznan,54,18,28,39,61,67,33,FST
19/03/26,20:00,Rayo Vallecano,Samsunspor,67,16,17,43,57,55,45,FST
19/03/26,20:00,Sparta Prague,AZ,52,31,17,39,61,63,37,FST
19/03/26,20:00,Strasbourg,HNK Rijeka,77,12,11,59,41,33,67,FST
19/03/26,17:45,SC Freiburg,Genk,69,15,16,39,61,61,39,FST
19/03/26,17:45,Lyon,Celta Vigo,56,18,26,36,64,56,44,FST
19/03/26,17:45,Midtjylland,Nottm Forest,7,40,53,38,62,72,28,FST
19/03/26,20:00,FC Porto,VfB Stuttgart,32,45,23,38,62,72,28,FST
19/03/26,20:00,Roma,Bologna,62,17,21,67,33,33,67,FST
19/03/26,20:00,Real Betis,Panathinaikos,80,9,11,63,37,33,67,FST
19/03/26,20:00,Aston Villa,Lille,67,13,20,40,60,59,41,FST
19/03/26,11:00,Oleksandria,Dynamo Kyiv,8,6,86,58,42,14,86,FST
19/03/26,16:00,Metalist 1925 Kharkiv,SK Poltava,89,7,4,27,73,14,86,FST
19/03/26,04:00,South Island United,Bula,66,9,25,36,64,63,37,FST
