DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
19/03/2026,0:00,Mirassol SP,Coritiba,36,31,33,30,70,64,36,Forebet
19/03/2026,0:00,Atlético Mineiro,São Paulo,19,29,53,48,52,61,39,Forebet
19/03/2026,0:00,Inter Miami CF,Nashville SC,36,35,29,43,57,63,37,Forebet
19/03/2026,0:00,Atlético GO,Ponte Preta,63,20,17,59,41,28,72,Forebet
19/03/2026,0:00,Naples,Red Force,73,16,11,43,57,60,40,Forebet
19/03/2026,0:00,Motown,Hartford Athletic,21,45,34,64,36,20,80,Forebet
19/03/2026,0:00,Louisville City,Southern Indiana,66,21,13,36,64,61,39,Forebet
19/03/2026,0:00,São José EC,Juventus SP,23,40,37,60,40,57,43,Forebet
19/03/2026,0:00,Náutico RR,Progresso RR,39,17,44,15,85,55,45,Forebet
19/03/2026,0:00,Central Córdoba SdE Res.,Boca Juniors Res.,9,27,64,47,53,64,36,Forebet
19/03/2026,0:15,CD Olimpia,Olancho,36,45,19,64,36,62,38,Forebet
19/03/2026,0:20,La Equidad,Deportivo Pereira,60,32,8,34,66,50,50,Forebet
19/03/2026,0:30,Metropolitanos,Monagas SC,56,23,21,35,65,59,41,Forebet
19/03/2026,0:30,Club Guaraní,Deportivo Recoleta,41,32,27,48,52,57,43,Forebet
19/03/2026,0:30,Libertad,Nacional Asunción,25,49,26,54,46,62,38,Forebet
19/03/2026,0:30,Vistula,One Knoxville,12,18,70,39,61,60,40,Forebet
19/03/2026,0:30,América RN,ABC Natal,22,32,45,48,52,76,24,Forebet
19/03/2026,0:30,Ji-Paraná FC RO,Rondoniense RO,38,36,25,23,77,69,31,Forebet
19/03/2026,0:30,Porto Velho,Guaporé RO,36,38,26,54,46,61,39,Forebet
19/03/2026,0:30,Operario MS,Corumbaense MS,32,45,23,54,46,57,43,Forebet
19/03/2026,0:30,Naviraiense MS,Bataguassu,51,25,23,25,75,69,31,Forebet
19/03/2026,1:00,Deportivo Mictlán,Malacateco,48,31,21,48,52,51,49,Forebet
19/03/2026,1:00,Libertad FC (ECU),Barcelona SC,25,41,34,55,45,51,49,Forebet
19/03/2026,1:00,SV Voorwaarts,SV Notch,48,32,20,47,53,67,33,Forebet
19/03/2026,1:00,Caledonia AIA,AC Port of Spain,25,18,57,39,61,69,31,Forebet
19/03/2026,1:00,Club Sando,Defence Force,27,26,46,42,58,79,21,Forebet
19/03/2026,1:00,CRB AL,Figueirense,37,40,23,62,38,55,45,Forebet
19/03/2026,1:00,Little Rock Rangers,FC Tulsa,34,32,34,65,35,34,66,Forebet
19/03/2026,1:00,BOHFS,Union Omaha,18,29,53,56,44,20,80,Forebet
19/03/2026,1:00,Ferroviária SP,Sertãozinho SP,47,22,31,39,61,61,39,Forebet
19/03/2026,1:15,Humaitá,Santa Cruz,33,45,22,52,48,64,36,Forebet
19/03/2026,1:30,Santos,Internacional,38,48,15,56,44,60,40,Forebet
19/03/2026,1:30,Vasco da Gama,Fluminense,25,30,45,54,46,48,52,Forebet
19/03/2026,1:30,Atlético Bucaramanga,Once Caldas,26,37,38,62,38,49,51,Forebet
19/03/2026,1:30,Jacuipense BA,Novorizontino SP,25,37,38,39,61,60,40,Forebet
19/03/2026,1:30,San Antonio FC,ASC New Stars,59,20,21,20,80,23,77,Forebet
19/03/2026,2:00,Tlaxcala,Atlante FC,19,39,41,49,51,63,37,Forebet
19/03/2026,2:00,Alianza FC,Cacahuatique,46,30,24,43,57,62,38,Forebet
19/03/2026,2:00,Municipal Limeño,Platense (SLV),40,36,24,45,55,59,41,Forebet
19/03/2026,2:00,Club América,Philadelphia Union,54,26,20,54,46,38,62,Forebet
19/03/2026,2:00,Roraima RR,Rio Negro RR,53,24,22,17,83,54,46,Forebet
19/03/2026,2:30,Real España,Génesis,51,28,21,27,73,65,35,Forebet
19/03/2026,2:30,Deportivo Cali,Ind Santa Fe,41,40,19,51,49,45,55,Forebet
19/03/2026,2:30,CD FAS,Hercules,72,19,8,50,50,62,38,Forebet
19/03/2026,2:30,New Mexico United,Cruizers,54,35,11,39,61,54,46,Forebet
