DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
2026-3-19,00:00,CRB AL , Figueirense SC,42,35,23,60,40,41,59,PREMA
2026-3-19,00:00,Libertad Loja , Barcelona SC,41,28,31,67,33,49,51,PREMA
2026-3-19,00:00,Dep. Mictlan , Malacateco,45,26,29,56,44,52,48,PREMA
2026-3-19,00:30,Santos SP , Internacional RS,35,58,7,57,43,70,30,PREMA
2026-3-19,00:30,Vasco da Gama RJ , Fluminense RJ,21,33,46,46,54,70,30,PREMA
2026-3-19,00:30,Jacuipense BA , Novorizontino SP,24,34,42,59,41,42,58,PREMA
2026-3-19,00:30,CA Bucaramanga , Once Caldas,26,42,32,49,51,59,41,PREMA
2026-3-19,01:00,Alianza Salvador , Cacahuatique,56,16,28,51,49,56,44,PREMA
2026-3-19,01:00,Mun. Limeno , Platense Zac.,53,27,20,57,43,48,52,PREMA
2026-3-19,01:00,Club America , Philadelphia Un,43,32,25,44,56,52,48,PREMA
2026-3-19,01:00,Tlaxcala , Atlante,33,35,32,53,47,55,45,PREMA
2026-3-19,01:30,Deportivo Cali , Santa Fe Bogota,39,38,23,58,42,57,43,PREMA
2026-3-19,01:30,FAS Santa Ana , Hercules Salvador,65,26,9,45,55,62,38,PREMA
2026-3-19,01:30,Real Espana , Genesis PN,53,28,19,49,51,59,41,PREMA
2026-3-19,02:00,Marquense , Coban Imperial,23,38,39,58,42,52,48,PREMA
2026-3-19,02:00,Jaiba Brava , Correcaminos,35,16,49,48,52,48,52,PREMA
2026-3-19,02:07,Guadalajara , Leon,69,11,20,38,62,58,42,PREMA
2026-3-19,03:00,Dep. Toluca , San Diego FC,45,33,22,37,63,52,48,PREMA
2026-3-19,03:00,Seattle Sounders , V. Whitecaps,35,32,33,49,51,56,44,PREMA
2026-3-19,10:30,Chanmari FC , Shillong Lajong,42,32,26,37,63,80,20,PREMA
2026-3-19,11:00,Karvan Yevlakh , Zira Baku,11,25,64,53,47,50,50,PREMA
2026-3-19,11:00,Oleksandriya , Dynamo Kyiv,19,23,58,47,53,50,50,PREMA
2026-3-19,11:00,Andijan , Mash'al Mubarek,44,35,21,41,59,23,77,PREMA
2026-3-19,13:00,Sreenidi Deccan , Namdhari FC,43,32,25,60,40,69,31,PREMA
2026-3-19,13:00,Kayserispor , Fatih Karagumruk,47,25,28,52,48,52,48,PREMA
2026-3-19,13:00,Green Buffaloes , Konkola Blades,24,44,32,74,26,45,55,PREMA
2026-3-19,13:00,Mufulira Wand. , Nkana,42,33,25,85,15,26,74,PREMA
2026-3-19,13:00,NAPSA Stars , MUZА,25,31,44,81,19,33,67,PREMA
2026-3-19,13:00,Power Dynamos , Prison Leopards,55,29,16,72,28,38,62,PREMA
2026-3-19,13:00,Red Arrows , Nkwazi,55,31,14,75,25,40,60,PREMA
2026-3-19,13:15,Buxoro , Din. Samarqand,47,27,26,63,37,56,44,PREMA
2026-3-19,14:00,Sporting Delhi , Jamshedpur,28,33,39,60,40,46,54,PREMA
2026-3-19,14:30,Aigle Royal Moungo , Fauve Azur,47,10,43,68,32,32,68,PREMA
2026-3-19,14:30,Victoria United , Panthere du Nde,41,39,20,60,40,40,60,PREMA
2026-3-19,15:00,Niger Tornadoes , Rivers United,26,39,35,73,27,34,66,PREMA
2026-3-19,15:15,Sabah Baku , Sumgayit,52,22,26,49,51,46,54,PREMA
2026-3-19,15:30,Krylya Sovetov , Lok. Moscow,29,32,39,49,51,53,47,PREMA
2026-3-19,16:00,Spartak Varna , Ludogorets,19,33,48,54,46,47,53,PREMA
2026-3-19,16:00,Metalist 1925 , SC Poltava,56,29,15,53,47,44,56,PREMA
2026-3-19,17:00,KFUM Oslo , Fredrikstad,37,32,31,54,46,52,48,PREMA
2026-3-19,17:00,Besiktas , Kasimpasa,51,30,19,50,50,55,45,PREMA
2026-3-19,17:00,Konyaspor , Genclerbirligi,37,34,29,49,51,60,40,PREMA
2026-3-19,17:45,AEK Athens , Celje,46,34,20,39,61,46,54,PREMA
2026-3-19,17:45,AEK Larnaca , Crystal Palace,24,34,42,50,50,48,52,PREMA
2026-3-19,17:45,Mainz 05 , Sigma Olomouc,45,35,20,48,52,42,58,PREMA
2026-3-19,17:45,Rakow Czest. , Fiorentina,35,31,34,49,51,56,44,PREMA
2026-3-19,17:45,Freiburg , Genk,42,33,25,46,54,52,48,PREMA
2026-3-19,17:45,Lyon , Celta Vigo,38,33,29,55,45,50,50,PREMA
2026-3-19,17:45,Midtjylland , Nottingham Forest,32,31,37,47,53,56,44,PREMA
2026-3-19,18:00,Quevilly, Dijon,12,47,41,51,49,55,45,PREMA
2026-3-19,18:30,Din. Bucuresti , U Craiova,33,33,34,61,39,46,54,PREMA
2026-3-19,19:00,Aucas Quito , Tecnico Un.,40,33,27,76,24,65,35,PREMA
2026-3-19,19:00,Bryne , Brann Bergen,27,31,42,39,61,59,41,PREMA
2026-3-19,20:00,Rayo Vallecano , Samsunspor,42,33,25,52,48,48,52,PREMA
2026-3-19,20:00,Shakhtar Donetsk , Lech Poznan,37,31,32,48,52,55,45,PREMA
2026-3-19,20:00,Sparta Prague , AZ Alkmaar,37,30,33,45,55,59,41,PREMA
2026-3-19,20:00,Strasbourg , Rijeka,45,34,21,47,53,45,55,PREMA
2026-3-19,20:00,Aston Villa , Lille,42,32,26,50,50,50,50,PREMA
2026-3-19,20:00,Porto , Stuttgart,35,32,33,51,49,54,46,PREMA
2026-3-19,20:00,Real Betis , Panathinaikos,45,34,21,48,52,45,55,PREMA
2026-3-19,20:00,Roma , Bologna,41,34,25,56,44,47,53,PREMA
2026-3-19,21:00,Aurora Guatemala , Guastatoya,30,40,30,61,39,45,55,PREMA
2026-3-19,21:00,Platense , Motagua,15,42,43,50,50,64,36,PREMA
2026-3-19,21:10,Alianza Valledupar , Jaguares Cordoba,23,43,34,55,45,50,50,PREMA
2026-3-19,21:30,Orense SC , Mushuc Runa,21,53,26,68,32,65,35,PREMA
2026-3-19,22:00,Gremio RS , Vitoria BA,40,33,27,55,45,68,32,PREMA
2026-3-19,22:30,Juventude RS , Aguia de Maraba PA,45,36,19,52,48,38,62,PREMA
2026-3-19,22:30,Maringa PR , Goias GO,32,33,35,57,43,49,51,PREMA
