DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
2026-03-19,21:00,Roma,Bologna,56,24,20,52,48,47,53,STA
2026-03-19,21:00,Aston Villa,Lille,57,19,24,47,53,51,49,STA
2026-03-19,21:00,FC Porto,VfB Stuttgart,51,27,22,38,62,54,46,STA
2026-03-19,18:45,Lyon,Celta Vigo,46,37,17,50,50,57,43,STA
2026-03-19,18:45,FC Midtjylland,Nottingham Forest,36,30,34,41,59,56,44,STA
2026-03-19,21:00,Betis,Panathinaikos,61,28,11,46,54,47,53,STA
2026-03-19,18:45,A. E. Kition Larnaca,Crystal Palace,36,27,37,47,53,51,49,STA
2026-03-19,21:00,Sparta Praha,AZ Alkmaar,51,25,24,39,61,59,41,STA
2026-03-19,18:45,Rakow Czestochowa,Fiorentina,45,24,31,40,60,51,49,STA
2026-03-19,21:00,Strasbourg,HNK Rijeka,64,27,9,49,51,52,48,STA
2026-03-19,18:45,FSV Mainz 05,Sigma Olomouc,70,23,7,36,64,51,49,STA
2026-03-19,21:00,Shakhter Donetsk,Lech Poznan,54,28,18,45,55,48,52,STA
2026-03-19,18:45,AEK Athens,NK Celje,78,16,6,38,62,44,56,STA
2026-03-19,21:00,Rayo Vallecano,Samsunspor,56,33,11,51,49,47,53,STA
2026-03-19,00:00,Atletico Mineiro,Sao Paulo,34,34,32,52,48,50,50,STA
2026-03-19,01:30,Vasco Da Gama,Fluminense,29,31,40,56,44,50,50,STA
2026-03-19,01:30,Santos,Internacional,43,32,25,44,56,60,40,STA
2026-03-19,23:00,Gremio,Vitoria,51,29,20,51,49,56,44,STA
2026-03-19,00:00,Mirassol,Coritiba,42,32,26,45,55,52,48,STA
2026-03-19,03:07,Guadalajara-Chivas,Leon,68,22,10,49,51,46,54,STA
2026-03-19,18:00,Besiktas,Kasimpasa,63,24,13,34,66,56,44,STA
2026-03-19,18:00,Konyaspor,Genclerbirligi,49,35,16,55,45,46,54,STA
2026-03-19,14:00,Kayserispor,Fatih Karagumruk AS,51,27,22,32,68,60,40,STA
2026-03-19,02:30,Deportivo Cali,Santa Fe,41,34,25,63,37,46,54,STA
2026-03-19,01:30,Bucaramanga,Once Caldas,44,32,24,56,44,50,50,STA
2026-03-19,00:20,Internacional De Bogota,Pereira,67,23,10,33,67,44,56,STA
2026-03-19,00:30,Libertad,Club Nacional,40,35,25,63,37,42,58,STA
2026-03-19,00:30,Club Guarani,Recoleta,45,25,30,43,57,48,52,STA
2026-03-19,00:00,Atletico Goianiense,Ponte Preta,61,28,11,63,37,35,65,STA
2026-03-19,23:30,Juventude,Aguia De Maraba,57,31,12,43,57,41,59,STA
2026-03-19,23:30,Maringa,Goias,33,33,34,58,42,42,58,STA
2026-03-19,01:00,CRB,Figueirense,65,20,15,45,55,31,69,STA
2026-03-19,01:30,Jacuipense,Novorizontino,31,31,38,58,42,33,67,STA
2026-03-19,22:00,Platense FC,CD Motagua,24,31,45,43,57,60,40,STA
2026-03-19,00:15,CD Olimpia,Olancho FC,58,28,14,42,58,53,47,STA
2026-03-19,02:30,Real Espana,Genesis FC,57,28,15,34,66,68,32,STA
2026-03-19,17:00,Spartak Varna,Ludogorets Razgrad,17,19,64,25,75,44,56,STA
2026-03-19,03:00,Deportivo Marquense,Coban Imperial,42,29,29,56,44,52,48,STA
2026-03-19,01:00,Mictlan,Malacateco,50,27,23,59,41,46,54,STA
2026-03-19,22:00,Aurora FC,Guastatoya,41,31,28,51,49,47,53,STA
2026-03-19,00:30,Metropolitanos FC,Monagas SC,51,28,21,44,56,57,43,STA
2026-03-19,16:15,Sabah FK,Sumqayit,66,24,10,43,57,46,54,STA
2026-03-19,12:00,FK Karvan,Zira,15,23,62,48,52,41,59,STA
2026-03-19,02:00,Municipal Limeno,CD Platense Municipal,52,27,21,38,62,59,41,STA
2026-03-19,02:00,Alianza,CD Cacahuatique,55,24,21,33,67,46,54,STA
2026-03-19,20:00,Bryne,Brann,29,25,46,28,72,57,43,STA
2026-03-19,18:00,KFUM Oslo,Fredrikstad,39,37,24,41,59,60,40,STA
2026-03-19,14:15,FK Buxoro,Dinamo Samarqand,35,30,35,62,38,43,57,STA
2026-03-19,12:00,FK Andijan,Mash al Mubarek,63,28,9,47,53,37,63,STA
2026-03-19,19:00,Quevilly,Dijon,16,32,52,51,49,48,52,STA
2026-03-19,16:00,Niger Tornadoes,Rivers United,41,32,27,51,49,35,65,STA
2026-03-19,02:00,Tlaxcala FC,Atlante,33,30,37,44,56,51,49,STA
2026-03-19,15:30,Victoria United,Panthere,49,32,19,49,51,42,58,STA
2026-03-19,01:00,Little Rock Rangers,FC Tulsa,36,27,37,45,55,58,42,STA
2026-03-19,01:00,Bohfs St. Louis,Union Omaha,36,17,47,31,69,61,39,STA
2026-03-19,21:00,AD Cariari Pococi,Aserri FC,56,30,14,32,68,70,30,STA
2026-03-19,20:45,Alfreton,Hereford,42,36,22,46,54,64,36,STA
2026-03-19,20:00,KFG Gardabaer,Vidir,47,28,25,37,63,66,34,STA
